Data ID,Text Description,Text,Participant ID,Playlist ID,Video ID,Segment Name,CMA,Valence,Arousal,Dominance,significance,arousal_category,valence_category,taskwiselabel
2003,"Yeah, so there was a criminal who was... yeah, it was kind of exciting because all around, all 360 degrees, something was going on, something was happening here, here, and I was like, I'm looking here, then something happened here, I was like, ""Oh, okay, okay."" It was like, where is actually things happening, and I was just finding it. But they talked about this criminal being violent, but still, because the video was made that way. it was like, what's gonna happen next? And like when he was just opening his handcuffs, and I was like, ""He just opened his handcuffs!"" And he has handcuffs and something's gonna happen because the policeman was taking him and his handcuffs are open. Okay, so it was kind of exciting. It was kind of like actual. I felt like I was feeling more in this video. The content was like, I was more focused on the content. Like when they changed the camera, I was firstly, I was feeling like I am a CCTV camera, and then it changed to like, I am with the criminal now. Now I am just looking because they were seen. I was looking at the policeman. Then yeah. And then I was just looking at people talking there about something, and then the criminal just ran away from there. I was like, something happened there. Yeah. And this still was like, I was just rotating my head.",yeah criminal yeah kind exciting around 360 degree something going something happening like looking something happened like oh okay okay like actually thing happening finding talked criminal violent still video made way like gon na happen next like opening handcuff like opened handcuff handcuff something gon na happen policeman taking handcuff open okay kind exciting kind like actual felt like feeling video content like focused content like changed camera firstly feeling like cctv camera changed like criminal looking seen looking policeman yeah looking people talking something criminal ran away like something happened yeah still like rotating head,2,1,3,Jailbreak,LVHA,3,4,3,4,1,0,0
2004,"Yeah, it was... I felt it was a little heartbreaking. More than the first two videos, they were sad, but it was how it was created, like when the person... the narration type thing. And so they have shown different people, different nations, and then what, because like this war thing, I actually read about this a lot during World War Two or One. So I have seen all these pictures, and so I was actually feeling that thing, like people are going there. So it was kind of I feel more connected. It was actually... I was like, I love this video, actually. And it was actually like, at first, they were showing, like, his wife or girlfriend. She was just waiting on the train scene, and that was actually... I felt like really... like they were waiting for them, and they don't know if they'll come back or not. And like the last scene...I felt actually good while scene changing because I was like, now I'm gonna watch something, and then this... It's like kind of movies or something. So, there was like a suspense creation in that time when there was a graphic, and when they were real. So, yeah.",yeah felt little heartbreaking first two video sad created like person narration type thing shown different people different nation like war thing actually read lot world war two one seen picture actually feeling thing like people going kind feel connected actually like love video actually actually like first showing like wife girlfriend waiting train scene actually felt like really like waiting nt know come back like last scene felt actually good scene changing like gon na watch something like kind movie something like suspense creation time graphic real yeah,2,1,4,Warknownonation,LVHA,4,2,2,4,0,1,0
2005,"This was the video i was actually feeling like my heart was beating like when he just jumped. I was like  ""i'm gone"". Like i was just facing at the view he was facing in the video.",video actually feeling like heart beating like jumped like gone like facing view facing video,2,1,5,CanyonSwing,HVHA,5,5,2,4,1,1,1
2006,"umm actually i didn't found it any interesting as nothing was happening there. so it was just quite. i just wanted to go there . move but i was constantly just standing there…. And the person was clicking pictures and i was just there so at that time i felt like i was on a robotic chair and it’s moving on it’s own. it was changing very slow so the video got boring for me. like i can’t move. the music in this video created some irritation type something. I like going to nature. I love going in nature, but I like to move and feel the thing. But in that video, I wasn't feeling the thing, because the person was going on, and I was like, ""I can't move."" ",umm actually nt found interesting nothing happening quite wanted go move constantly standing there… person clicking picture time felt like robotic chair ’ moving ’ changing slow video got boring like ’ move music video created irritation type something like going nature love going nature like move feel thing video nt feeling thing person going like ca nt move,2,1,6,Redwoods,HVLA,3,5,4,2,1,0,1
2007,This video was the was the least interesting video. yeah the thing i noticed that  in the falling video there was no music so i was feeling everything kind of real but in this video there was music so no. it was like you were watching something but you are not in the situation.,video least interesting video yeah thing noticed falling video music feeling everything kind real video music like watching something situation,2,1,7,Speedflying,HVHA,2,4,3,2,1,0,1
2008,"I loved this video. And like, whoever was narrating that, and it was also good. Because everyone was going in the slide. I was like, when will I go in the slide? They are saying, ""You will go in the slide."" When will I go in the slide? But suddenly, they changed, and I was like, okay, now in the slide.  I was just looking at the sunset. I was like, when they said, like, ""You're not going to..."" I was like, I don't want to go. I just want to stay there. they said, ""You have to go back to reality."" I was like, ""Please, keep me there."" ",loved video like whoever narrating also good everyone going slide like go slide saying go slide go slide suddenly changed like okay slide looking sunset like said like going like nt want go want stay said go back reality like please keep,2,1,8,InstantCaribbean,HVLA,5,5,4,4,1,1,1
3001,"So, it was about what they have shown - various scenes of war.  It did not feel real, it felt like a movie.  So, not okay. I felt neutral, not that engagning emotion-wise. No, because I am aware that it happened, so it did not feel like it's happening right now. ",shown various scene war feel real felt like movie okay felt neutral engagning emotionwise aware happened feel like happening right,3,3,1,Warknownonation,LVHA,3,1,3,2,0,0,0
3002,This one was very boring. I was supposed to watch trees. One person came in between but then he disappered and I was looking for the guy. The guy in start took a picture and then nothing happened.,one boring supposed watch tree one person came disappered looking guy guy start took picture nothing happened,3,3,2,Redwoods,HVLA,2,5,4,2,1,0,1
3003,"This one was nice, but I was not able to grasp the point. And also, um, so there was...I could not see which part to focus on, like I could not see who was talking. It was a narration, like a narrator. So, I could not see. So, here they were talking to a girl, but he was looking somewhere else. Like, they were talking to this girl. It was very confusing as what they want to tell.",one nice able grasp point also um could see part focus like could see talking narration like narrator could see talking girl looking somewhere else like talking girl confusing want tell,3,3,3,HappyLand,LVLA,2,3,5,2,0,0,0
3004,"This one was good. This was exciting. Yeah, also the vlog-like feel. Like, this guy talks to the camera, and at the start, it is good. I noticed the poor quality but I liked it anyway. Not really, but it was nice to look at. It was like I was right there, but I don't have a particular liking for adventure sports as such. But I liked this one.",one good exciting yeah also vloglike feel like guy talk camera start good noticed poor quality liked anyway really nice look like right nt particular liking adventure sport liked one,3,3,4,Speedflying,HVHA,5,2,4,2,0,1,1
3005,"This one, yeah, this one. I appreciate the video. Okay, but did not engage me that much. Maybe I am just not fond of beaches or things. It looked like an advertisement at first. Not as okay. In the end, there was also a sunset. I did not like it. I think I just don't like looking at it. It looked like an ad. It was not fun.",one yeah one appreciate video okay engage much maybe fond beach thing looked like advertisement first okay end also sunset like think nt like looking looked like ad fun,3,3,5,InstantCaribbean,HVLA,3,5,4,4,1,0,1
3006,"This one was the most fun video. I watch like shows based on crime, so it was nice. I was looking forward to more content like I wanted to see. seemed a little fake in between, but okay. But, this was exciting to watch.",one fun video watch like show based crime nice looking forward content like wanted see seemed little fake okay exciting watch,3,3,6,Jailbreak,LVHA,4,5,4,4,1,1,0
3007,"This was good. If this was real, I think this was real, right? I just don't like where people are telling you stuff, and it's like...There's a lot of information, and it's not in a good way, like... Okay? I was tired, but did not.",good real think real right nt like people telling stuff like lot information good way like okay tired,3,3,7,TheDisplaced,LVLA,2,4,3,2,1,0,0
3008,This was nice.  It was good. I felt a little bit scared. May be a little bit afraid.,nice good felt little bit scared may little bit afraid,3,3,8,CanyonSwing,HVHA,3,5,3,2,1,0,1
4001,"So they were trying to kidnap a person. It was kind of... So, I think it was supposed to induce some scary feeling, but they were funny. So, I thought it was funny. they were acting like jokers or whatever, haha. First time I entered the room, I don't know what this said, but it was like, I think I laughed a bit. ",trying kidnap person kind think supposed induce scary feeling funny thought funny acting like joker whatever haha first time entered room nt know said like think laughed bit,4,4,1,Kidnapped,LVHA,5,3,2,1,0,1,0
4002,"Calm, yeah. I felt very calm. I like serene environment in front of me. So, I was just observing either, and I saw crabs and all so it was very calm. I just found out as a person sitting and behind me. So, was that like a guy or a girl? So I did had a doubt about that one person at the back. And at the end their was a sunset and sky was orange. ",calm yeah felt calm like serene environment front observing either saw crab calm found person sitting behind like guy girl doubt one person back end sunset sky orange,4,4,2,MalaekahanaSunrise,HVLA,5,1,5,3,0,1,1
4003,"In this video I did not feel funny. I did not also felt scary as it was not able to induce scary emotion. Because I am accustomed to it. I was not sure if their were zombies or mental hospital patients at one point, but then I think it was zombies only. So, that was not clear, okay. It was not scary and it was not, I was alert and I was looking for a jump scare. I was just preparing for something to happen, some jumpscare. I was anticipating. I looking for just genuinely interested in what they are doing, and zombies may be a lot of sci-fi media moveis have shown different types of zombies. So, I was just observing what characteristics these zombies might have.",video feel funny also felt scary able induce scary emotion accustomed sure zombie mental hospital patient one point think zombie clear okay scary alert looking jump scare preparing something happen jumpscare anticipating looking genuinely interested zombie may lot scifi medium moveis shown different type zombie observing characteristic zombie might,4,4,3,ZombieApocalypse,LVHA,4,2,5,1,0,1,0
4004,"this was supposed to induce a cheerfully vibe, but since I'm not into dogs that much, so I was pretty calm. So, it was interesting and what I found interesting was because I was an object on the ground, my point of view was seeing the humans as giants. Okay, so that was interesting.  I just found it interesting because I've never seen something from that perspective. I mean, music was like doing it's work, it was cheerful, I felt like bobbing my head to it and just observing around, so I do not know what cheerful is, so I cannot say.",supposed induce cheerfully vibe since dog much pretty calm interesting found interesting object ground point view seeing human giant okay interesting found interesting never seen something perspective mean music like work cheerful felt like bobbing head observing around know cheerful say,4,4,4,PuppiesHost,HVHA,4,1,5,1,0,1,1
4005,"So, in this video, I felt like there is a earthquake and everything is moving. It was pretty shaky because of the transition, it felt like so the transitions were very fast. There was some inquistiveness about how people reached to this beach because there was a forest at the back. I do felt the beach-vibe because a couple was there. The new perspective were fun to watch and were interesting.",video felt like earthquake everything moving pretty shaky transition felt like transition fast inquistiveness people reached beach forest back felt beachvibe couple new perspective fun watch interesting,4,4,5,GreatOceanRoad,HVLA,4,2,5,3,0,1,1
4006,"I like this one the most because this one felt like the most real video graphic wise beacuse no one was there. I also liked the music. overall it created a very calm and serene space for me, yeah. So, this was overall everything. I like this video the best. So, this was the most calming. perspective was the normal one, it felt like I was alone in a parking lot, I don't know if there was a beach or not but I felt like if I walk a little more I will find a beach. I was calm throughout the video, and I really like the video, I was just thinking that I was really enjoying being here.",like one one felt like real video graphic wise beacuse one also liked music overall created calm serene space yeah overall everything like video best calming perspective normal one felt like alone parking lot nt know beach felt like walk little find beach calm throughout video really like video thinking really enjoying,4,4,6,AbandonedBuilding,LVLA,5,4,5,3,1,1,0
4007,"So, I don't know if... See, I'm pretty desensitized, I just went to Nepal, my grandmother live there, so I know what happened and stuff like that, so it did not elicit a response from me. It would have been distressing but I was desensitized to it. There were some places shown in the video where I have actually been to. I think yes, there was a scene in which they were distributing the food so I felt like I was standing there, I think that moment I felt like it was real. ",nt know see pretty desensitized went nepal grandmother live know happened stuff like elicit response would distressing desensitized place shown video actually think yes scene distributing food felt like standing think moment felt like real,4,4,7,NepalEarthquake,LVLA,2,3,4,5,0,0,0
4008,So that was pretty funny but I enjoyed this one and I think see other ones did not fool my senses but in this one I think something happened. I don't I cannot put it into words but I lost my sense of balance I guess.  So it was exciting.,pretty funny enjoyed one think see one fool sens one think something happened nt put word lost sense balance guess exciting,4,4,8,MegaCoaster,HVHA,5,4,4,1,1,1,1
5001,"This one? So, this one was a person kidnapped, two people, and they were talking to him, and they were in the car. A policeman came. So, in this video, I mean, everything was very unexpected. I mean, suddenly, people came in the room, and suddenly, we moved to the car. So, things were quite unexpected and surprising. I felt suprised and curious. I didn't feel any emotion, not much. I felt, at some point, that it's a bit scary. The emotion changed. I mean, I was not curious anymore. I was less curious when I moved into the car from room, and I was a bit, I say, a little fearful.",one one person kidnapped two people talking car policeman came video mean everything unexpected mean suddenly people came room suddenly moved car thing quite unexpected surprising felt suprised curious nt feel emotion much felt point bit scary emotion changed mean curious anymore le curious moved car room bit say little fearful,5,4,1,Kidnapped,LVHA,4,2,2,3,0,1,0
5002,"Initially I was expecting something will happen but later I found out it gone be like this. Initially there was not much emotions but later I found I was more calm and relaxed and good. Intially I was alert.  Later I was focused and was observing everything in the video, the sunset, the lobster. I felt like my feets are in sand.",initially expecting something happen later found gone like initially much emotion later found calm relaxed good intially alert later focused observing everything video sunset lobster felt like feets sand,5,4,2,MalaekahanaSunrise,HVLA,5,2,4,3,0,1,1
5003,"some people were planning for some they were like gun man and they were planning for some may be war or something like a war is going on and this is the police may be. i was i say curious to know what they are doing and what.  When we moved to the war zone. the emotion changed i mean i was not curious anymore i mean i was less curious now and i was bit i say little fearful i say little bit. I just felt that it was too dark, and for some places, I was not able to understand completely, like, I was not able to look clearly what's happening.",people planning like gun man planning may war something like war going police may say curious know moved war zone emotion changed mean curious anymore mean le curious bit say little fearful say little bit felt dark place able understand completely like able look clearly happening,5,4,3,ZombieApocalypse,LVHA,3,2,3,3,0,0,0
5004,"So, this was... I say a fun kind of video. I mean, a lot of cute puppies, here and there. I like puppies. Yeah, initially, I saw just puppies, but then I looked around and saw people were there, and then I felt more realistic. And I also saw this one also. This was nice.  ",say fun kind video mean lot cute puppy like puppy yeah initially saw puppy looked around saw people felt realistic also saw one also nice,5,4,4,PuppiesHost,HVHA,4,1,4,3,0,1,1
5005,very good yeah this was one of my favorite videos i say i like the perspective like i am like some it seems like i am  flying like that.  i felt i mean very good very happy or happy. because of perspective yes like in the beach video i was more relaxed but this was not as relaxing as that one yeah exciting was there because the perspective was changing every second. i felt like i am in some helicopter sort of thing like i am actually there. ,good yeah one favorite video say like perspective like like seems like flying like felt mean good happy happy perspective yes like beach video relaxed relaxing one yeah exciting perspective changing every second felt like helicopter sort thing like actually,5,4,5,GreatOceanRoad,HVLA,5,1,4,2,0,1,1
5006,again like i was expecting some moment something will be there because the previous video was you know completely moving then after two three seconds i was like okay its going to be relaxed one okay then after some time after like three two three seconds more i realized okay it's raining like the sound of rain was coming like initially I noticed that sound. i felt like i am just sitting with the good friend and relaxing at some place.,like expecting moment something previous video know completely moving two three second like okay going relaxed one okay time like three two three second realized okay raining like sound rain coming like initially noticed sound felt like sitting good friend relaxing place,5,4,6,AbandonedBuilding,LVLA,3,2,3,3,0,0,0
5007,Overall emotion was I say a bit conscious also that anything like this could happen at any place so we need to be conscious. I was contemplating that life could be this way also. Earthquakes can happen suddenly anywhere.,overall emotion say bit conscious also anything like could happen place need conscious contemplating life could way also earthquake happen suddenly anywhere,5,4,7,NepalEarthquake,LVLA,3,2,3,3,0,0,0
5008," initially i was excited with this whats gonna be next thing then after like like, it was one minute video so after like 30 40 seconds i started feeling bit tired this needs to be stopped i kind of started feeling tired and like a loss of sense of balance. at some point i felt like my head is like rolling kind of at some point. i say in the beginning the excitement level was more and when it moved on it gradually bit reduced.  ",initially excited whats gon na next thing like like one minute video like 30 40 second started feeling bit tired need stopped kind started feeling tired like loss sense balance point felt like head like rolling kind point say beginning excitement level moved gradually bit reduced,5,4,8,MegaCoaster,HVHA,4,2,4,2,0,1,1
6001,"Distressed, because of all the loss. And all that happened in Nepal. I mean, not distress, more like sad. I have seen about earthquake on television but seeing it in TV made it bit more involving. I was stable sad throughout.",distressed loss happened nepal mean distress like sad seen earthquake television seeing tv made bit involving stable sad throughout,6,2,1,NepalEarthquake,LVLA,2,3,5,4,0,0,0
6002,"So, this was, Starting I was bit confused I wasn't sure what was happening. Then, it was a bit interesting, after that, I found it a bit funny because like, the other people, zombies, they were not like scary. Okay, but I wasn't scared, but I was interested. And at the start, it was a bit confusing because there was no context as such, but later, like, a zombie movie or something. it wasn't scary, like, the zombies were there, there was no, like, there was no doubt. And also, jump scare was not there.",starting bit confused nt sure happening bit interesting found bit funny like people zombie like scary okay nt scared interested start bit confusing context later like zombie movie something nt scary like zombie like doubt also jump scare,6,2,2,ZombieApocalypse,LVHA,4,4,5,4,1,1,0
6003,"So I didn’t understand again what was happening, okay, so this was just a 360 picture but when I looked back there was a cloth moving, so I thought it was a video. But later on the audio was echoing so I didn’t understand what it was saying. The music was calming, But I didn’t understand. I was inquisitive. Okay, so in the audio, I just assumed that it was inspirational, but I did not understand what he was saying because of the echo. ",’ understand happening okay 360 picture looked back cloth moving thought video later audio echoing ’ understand saying music calming ’ understand inquisitive okay audio assumed inspirational understand saying echo,6,2,3,AbandonedBuilding,LVLA,3,1,5,1,0,0,0
6004,"So, there was, in this one, the person wasn't moving at all, the person through which I am seeing, so it felt a bit unrealistic, like, right now, if someone is... Is pointing a gun, I would move or something, but he's just sitting like a mannequin, so that was a bit unrealistic. so like, even if in this video the person was trying to struggle or something, it could be a bit more, like, okay, I'm struggling to get out, there's a bit more sense of fear that I'm trying to get out and all, but here, he's sitting calmly and so it felt a bit unrealistic, and yeah. It was calm, and the person... I think this was a funny video, I think so. It was at the end, it was a bit funny when they were arguing and all that, yeah.",one person nt moving person seeing felt bit unrealistic like right someone pointing gun would move something sitting like mannequin bit unrealistic like even video person trying struggle something could bit like okay struggling get bit sense fear trying get sitting calmly felt bit unrealistic yeah calm person think funny video think end bit funny arguing yeah,6,2,4,Kidnapped,LVHA,3,2,5,2,0,0,0
6005,"so this was a bit... Yeah, nauseating, okay, like, I didn't... I was not feeling that I was in there, but there was this movement, but my body is standing there, like, this still, so there was a bit of motion sickness. So, there... So, in real life, I would... I have motion sickness, I would be avoiding, yeah, so it wasn't that scary, but there was motion sickness, so because I was sitting still, but this was going all the directions. I mean, excitement wasn't there, excitement wasn't there, no, because like, I was... Because somewhere I knew that I am just sitting in a room because I am in a VR simulation only, but if I didn't know that, like I... So, it would have felt... It did feel like I was there, but it wasn't exciting, how should I put this... Like, so, the roller coasters, when you're actually on a roller coaster, there is this sensation... Gravity.  I did feel a bit nauseated, but I wasn't scared. I have never been on a rollercoaster... I don't exactly know how it feels, but yeah, it was not scary, it was a bit exciting, but there was this knowledge that I'm not really there, so that.",bit yeah nauseating okay like nt feeling movement body standing like still bit motion sickness real life would motion sickness would avoiding yeah nt scary motion sickness sitting still going direction mean excitement nt excitement nt like somewhere knew sitting room vr simulation nt know like would felt feel like nt exciting put like roller coaster actually roller coaster sensation gravity feel bit nauseated nt scared never rollercoaster nt exactly know feel yeah scary bit exciting knowledge really,6,2,5,MegaCoaster,HVHA,4,4,5,4,1,1,1
6006,This was calmimg. I felt calm throughout the video. It was a perfect video.,calmimg felt calm throughout video perfect video,6,2,6,MalaekahanaSunrise,HVLA,5,1,5,1,0,1,1
6007,"So, this was a bit disorienting because, like, it was a cute video, but the dogs were, like, they were jumping on the camera, so that was a bit... So, the perspective-wise, it was... The dogs were, like, I was like a little person, these dogs were huge. I mean, like, puppies, yeah, but, like, it wasn't scary, it was cute, but they were, like... So, this sense of, like, if I was a human, a puppy would be somewhere over here, but they were, like, here, and they were huge, so the perspective was an issue here. ",bit disorienting like cute video dog like jumping camera bit perspectivewise dog like like little person dog huge mean like puppy yeah like nt scary cute like sense like human puppy would somewhere like huge perspective issue,6,2,7,PuppiesHost,HVHA,5,3,4,2,0,1,1
6008,"This one was also calming, and, like, there I was on this drone.So, the motion here was slow, so it didn't feel very scary, so it was fine. So like where once this bubble transition, yeah, I was confused for a second, but then I understood transition, but no, it didn't impact, any, it was quite smooth, so it didn't impact the experience ",one also calming like droneso motion slow nt feel scary fine like bubble transition yeah confused second understood transition nt impact quite smooth nt impact experience,6,2,8,GreatOceanRoad,HVLA,5,1,5,2,0,1,1
8001,"In this video I have a feeling of guilt and a feeling of companionship. It was a little sad. Because they left their homes and got separated from their families, that's why I felt sad. In between, I felt like helping also.",video feeling guilt feeling companionship little sad left home got separated family felt sad felt like helping also,8,1,1,TheDisplaced,LVLA,3,3,4,2,0,0,0
8002,"In this video I felt good. I felt like there is a goodness in the world. Inspite of beig in such a condition they were happy. I felt positive, in a positive way.  I felt like the people in video were trying to connect with me. I felt the emotions of hope and kindness.",video felt good felt like goodness world inspite beig condition happy felt positive positive way felt like people video trying connect felt emotion hope kindness,8,1,2,HappyLand,LVLA,4,4,4,2,1,1,0
8003,I felt excited and curious in this video. I felt a sense of running and activeness in this video. I felt very positive emotion in this video. I felt like I was their in the scene and also the jail person felt like talking to me and that made me feel excited. ,felt excited curious video felt sense running activeness video felt positive emotion video felt like scene also jail person felt like talking made feel excited,8,1,3,Jailbreak,LVHA,4,3,3,2,0,1,0
8004,"I felt very confused in this video. Yeah, because of the person changing from old to young. That's why, also, I didn't get the story properly. Just I enjoyed the video, but I thought that it would be better to explain the sequences. I felt a little disconnected from the video. The major emotion was a little proud, a little sense of life watching a video.",felt confused video yeah person changing old young also nt get story properly enjoyed video thought would better explain sequence felt little disconnected video major emotion little proud little sense life watching video,8,1,4,Warknownonation,LVHA,3,2,3,3,0,0,0
8005,"I felt really excited, enthusiastic and active. I was a little scared when he was at the edge of the cliff. I felt like I jumped. I was a little surprised. ",felt really excited enthusiastic active little scared edge cliff felt like jumped little surprised,8,1,5,CanyonSwing,HVHA,4,1,3,4,0,1,1
8006,"The major emotion was relaex, chilled.  But the video was trasnsitioning very slow I created a sense of sudden action, I'm just scared of getting a boost, jump scare while watching this. I was alert at the start. I was exploring that maybe someone could or can come from behind from me. Later, I felt relaxed like it is a normal video.",major emotion relaex chilled video trasnsitioning slow created sense sudden action scared getting boost jump scare watching alert start exploring maybe someone could come behind later felt relaxed like normal video,8,1,6,Redwoods,HVLA,3,1,3,2,0,0,1
8007,"The major emotion was like the active and enthusiastic and a playful emotion. I also want to do that speed flying acivity in the future. I was a little afraid also then that they would not bump into any tree or they would not land anywhere else.  in front of me I can see my partner going in front, and at the back, I can see someone holding me so that I can also go through that. Okay, great. Like, I can see the face of the person who is holding the camera, so it felt like I was held by a person only, not doing it solo. ",major emotion like active enthusiastic playful emotion also want speed flying acivity future little afraid also would bump tree would land anywhere else front see partner going front back see someone holding also go okay great like see face person holding camera felt like held person solo,8,1,7,Speedflying,HVHA,4,2,3,2,0,1,1
8008,"It was good. Yeah, it was chill, relax, and also like when we went to that boat or cruise, you can say, there I got the emotion of excited, because of the slide, yes, because of the slide. And later, I felt relaxed also, then when this screen comes, sunset, yeah, the sunset one, okay. I also felt excited while going up. ",good yeah chill relax also like went boat cruise say got emotion excited slide yes slide later felt relaxed also screen come sunset yeah sunset one okay also felt excited going,8,1,8,InstantCaribbean,HVLA,4,2,4,4,0,1,1
9001,"It was the first video and my first VR experience, so my mind was more focused on the vr technology than the earthquake itself. So the emotion was overall neutral. no strong emotions my mind was more focused on the technology and scenes itself not on the content.  I did realize what happened but I don't feel any I haven't felt any strong emotion.",first video first vr experience mind focused vr technology earthquake emotion overall neutral strong emotion mind focused technology scene content realize happened nt feel nt felt strong emotion,9,2,1,NepalEarthquake,LVLA,3,3,4,4,0,0,0
9002,"so it was not until very late that I realized this is a movie scene, and it's about this zombie apocalypse. Yeah, so I think it was more of neutral because it is a movie. Initially, I thought that, okay, it might be some video from a room or something like that, but I think after four, five seconds. but after like 10 to 20 seconds, I realized this is a movie scene, okay, then with the zombies and everything. I don't think I was scared or alert. The more curiosity was, what's going to happen and what's happening. ",late realized movie scene zombie apocalypse yeah think neutral movie initially thought okay might video room something like think four five second like 10 20 second realized movie scene okay zombie everything nt think scared alert curiosity going happen happening,9,2,2,ZombieApocalypse,LVHA,5,2,4,5,0,1,0
9003,"This was nice, actually, it was. It was a positive experience. it was calm, the music as well as the building, nothing is happening and very calm music. You can look into the sky and just be calm and quiet there, and the music helped, yeah. ",nice actually positive experience calm music well building nothing happening calm music look sky calm quiet music helped yeah,9,2,3,AbandonedBuilding,LVLA,4,2,5,5,0,1,0
9004,"It was more of a comedy than kidnapping. For me, it was more of a funny video.More like, okay, I'm playing a game and people are just acting.",comedy kidnapping funny videomore like okay playing game people acting,9,2,4,Kidnapped,LVHA,5,2,5,4,0,1,0
9005,"whenever it went down, I felt like it's tilting and everything.I felt scared. maybe because I'm scared of heights.
 The moment it went down and everything, so it felt like something is hapening. I was scared and excited. The eotion of the scared remained for the fall in the video and aterwards it was little ok.",whenever went felt like tilting everythingi felt scared maybe scared height moment went everything felt like something hapening scared excited eotion scared remained fall video aterwards little ok,9,2,5,MegaCoaster,HVHA,5,4,4,5,1,1,1
9006,"It was a calm video. But then I think it went on too long. So I felt it was boring. yes, i love beaches. but I have never been to one.  yeah And so in the video I looked at the sun, I looked at the sea, I heard it, then what, for three minutes? And then I didn't know what to do. I thought it was way too long, okay.",calm video think went long felt boring yes love beach never one yeah video looked sun looked sea heard three minute nt know thought way long okay,9,2,6,MalaekahanaSunrise,HVLA,3,3,4,4,0,0,1
